GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC03_EST_VC56,HC03_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC03_EST_VC57,HC03_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59
1400000US48339693900,48339693900,"Census Tract 6939, Montgomery County, Texas",9778,946,1753,607,17.9,5.5,513,336,,,,,2526,660,,,,,3789,825,,,,,4660,886,,,,,5138,905,,,,,6618,1029,,,,,8257,1080,,,,,8742,1011,,,,
1400000US48339694000,48339694000,"Census Tract 6940, Montgomery County, Texas",10212,797,2121,789,20.8,7.2,668,325,,,,,2410,786,,,,,2667,802,,,,,3523,927,,,,,3762,942,,,,,6202,859,,,,,8324,872,,,,,8905,850,,,,
1400000US48339694101,48339694101,"Census Tract 6941.01, Montgomery County, Texas",11595,1387,2403,1229,20.7,9.2,969,477,,,,,3037,1399,,,,,4824,1005,,,,,5643,1108,,,,,5974,1219,,,,,7297,1188,,,,,8506,1172,,,,,9826,1344,,,,
1400000US48339694102,48339694102,"Census Tract 6941.02, Montgomery County, Texas",5508,482,572,296,10.4,5.3,143,125,,,,,977,434,,,,,1061,446,,,,,1534,562,,,,,1671,583,,,,,3406,549,,,,,4006,583,,,,,4503,555,,,,
1400000US48339694201,48339694201,"Census Tract 6942.01, Montgomery County, Texas",7167,959,869,438,12.1,5.8,205,147,,,,,1405,586,,,,,1531,595,,,,,2265,634,,,,,2379,625,,,,,3241,664,,,,,4822,789,,,,,5513,962,,,,
1400000US48339694202,48339694202,"Census Tract 6942.02, Montgomery County, Texas",11846,1240,481,248,4.1,2.1,249,164,,,,,724,287,,,,,1355,576,,,,,2025,718,,,,,2268,742,,,,,4778,1179,,,,,6404,1401,,,,,8192,1526,,,,
1400000US48339694301,48339694301,"Census Tract 6943.01, Montgomery County, Texas",11951,905,841,368,7,3.1,318,273,,,,,1047,402,,,,,1210,419,,,,,1746,604,,,,,2031,649,,,,,3070,732,,,,,4815,970,,,,,6077,1059,,,,
1400000US48339694302,48339694302,"Census Tract 6943.02, Montgomery County, Texas",8255,629,470,335,5.7,3.9,209,191,,,,,528,365,,,,,689,395,,,,,1230,580,,,,,1332,604,,,,,2792,655,,,,,3577,624,,,,,4298,624,,,,
1400000US48339694400,48339694400,"Census Tract 6944, Montgomery County, Texas",8150,728,1217,634,14.9,7.3,391,304,,,,,1710,657,,,,,2761,749,,,,,3328,847,,,,,3629,874,,,,,4408,939,,,,,5410,912,,,,,6251,803,,,,
1400000US48339694500,48339694500,"Census Tract 6945, Montgomery County, Texas",9442,523,310,222,3.3,2.4,211,177,,,,,373,237,,,,,631,320,,,,,754,344,,,,,818,341,,,,,1460,457,,,,,2247,537,,,,,4173,733,,,,
1400000US48339694600,48339694600,"Census Tract 6946, Montgomery County, Texas",7441,556,670,337,9,4.4,127,100,,,,,1104,503,,,,,1302,497,,,,,1929,654,,,,,2017,663,,,,,2618,718,,,,,4022,746,,,,,5258,690,,,,
1400000US48339694700,48339694700,"Census Tract 6947, Montgomery County, Texas",3222,342,376,181,11.7,5.6,132,79,,,,,530,196,,,,,797,221,,,,,879,225,,,,,1058,279,,,,,1350,304,,,,,1651,334,,,,,2243,360,,,,
1400000US48473680100,48473680100,"Census Tract 6801, Waller County, Texas",3609,322,398,258,11,6.8,157,157,,,,,433,264,,,,,539,252,,,,,619,246,,,,,782,270,,,,,1038,350,,,,,1766,415,,,,,2113,409,,,,
1400000US48473680200,48473680200,"Census Tract 6802, Waller County, Texas",10061,588,2019,680,20.1,6.3,716,368,,,,,2855,775,,,,,3585,780,,,,,4206,779,,,,,4345,814,,,,,6552,844,,,,,7645,747,,,,,8284,707,,,,
